date,tmin,tmax,prcp,snow,snwd,awnd
1/9/17,9,31,0,0,1.2,2.46
1/11/17,40,57,0,0,0,6.04
1/19/17,36,63,0,0,0,1.34
1/20/17,46,59,0.09,0,0,2.91
1/24/17,41,63,0,0,0,6.04
1/26/17,43,70,0.06,0,0,13.42
1/30/17,30,46,0,0,0,6.26
2/6/17,31,68,0,0,0,4.7
2/10/17,26,51,0,0,0,6.71
2/12/17,58,83,0.05,0,0,11.41
2/16/17,32,53,0,0,0,6.71
3/6/17,34,65,0,0,0,6.71
3/13/17,26,42,0.56,0,0,8.28
3/15/17,24,40,0,0,0,10.51
3/17/17,23,58,0.03,0,0,4.92
3/22/17,39,64,0,0,0,8.28
3/23/17,31,56,0,0,0,7.38
4/1/17,49,75,0,0,0,6.04
4/2/17,49,69,0,0,0,6.04
4/15/17,61,85,0,0,0,9.62
4/16/17,60,82,0,0,0,12.75
4/17/17,62,86,0.05,0,0,9.84
4/20/17,56,85,0,0,0,5.82
4/21/17,63,89,0.21,0,0,6.93
5/1/17,68,85,0.29,0,0,15.66
5/11/17,61,84,0.48,0,0,4.92
5/12/17,54,61,0.07,0,0,7.61
5/18/17,66,86,0,0,0,10.96
5/26/17,59,81,0,0,0,7.83
5/30/17,68,82,0.06,0,0,4.03
6/3/17,57,88,0,0,0,3.36
6/5/17,67,85,1.54,0,0,6.04
6/11/17,67,90,0,0,0,6.26
6/16/17,70,89,2.3,0,0,4.03
6/18/17,74,91,0.17,0,0,8.72
6/25/17,67,84,0,0,0,3.58
6/28/17,57,83,0,0,0,4.25
7/13/17,78,97,0,0,0,8.5
7/14/17,77,97,0,0,0,9.4
7/18/17,71,89,0,0,0,5.14
7/28/17,75,94,0.21,0,0,7.61
7/30/17,63,85,0,0,0,6.26
8/18/17,75,98,0.01,0,0,7.38
8/19/17,73,92,0.05,0,0,2.91
8/20/17,71,95,0,0,0,3.58
8/30/17,59,84,0,0,0,1.79
9/1/17,64,78,1.06,0,0,7.83
9/5/17,64,90,0.06,0,0,8.05
9/6/17,61,82,0.52,0,0,4.92
9/11/17,58,67,0.01,0,0,12.75
9/28/17,63,94,0,0,0,3.13
10/2/17,47,76,0,0,0,4.92
10/6/17,55,86,0,0,0,2.91
10/11/17,73,89,1.12,0,0,8.05
10/12/17,65,77,0,0,0,8.28
10/13/17,63,71,0,0,0,7.38
10/14/17,62,78,0,0,0,3.13
10/26/17,40,63,0,0,0,3.8
10/29/17,41,68,0.78,0,0,7.61
11/5/17,51,70,0,0,0,2.46
11/18/17,33,67,0,0,0,11.41
11/19/17,34,64,0.08,0,0,9.17
11/20/17,28,57,0,0,0,2.01
12/4/17,33,61,0,0,0,2.46
12/14/17,30,57,0,0,0,7.38
1/1/18,13,28,0,0,0,6.49
1/7/18,4,30,0,0,0,2.68
1/14/18,21,33,0,0,0,8.72
1/19/18,19,49,0,0,3.9,3.58
1/20/18,26,56,0,0,1.2,5.59
1/23/18,47,70,0.83,0,0,15.66
1/24/18,34,54,0,0,0,4.03
1/27/18,31,67,0,0,0,6.26
1/28/18,52,60,1.3,0,0,5.14
2/7/18,44,65,0.21,0,0,8.5
2/17/18,40,56,0.06,0,0,6.93
3/2/18,41,55,0,0,0,14.99
3/3/18,35,57,0,0,0,8.72
3/12/18,32,38,0.92,1.4,0,7.16
3/20/18,36,57,1.05,0,0,8.72
4/1/18,41,75,0,0,0,7.61
4/4/18,48,77,0,0,0,13.87
4/10/18,39,62,0,0,0,5.37
4/11/18,38,62,0,0,0,5.37
4/13/18,52,80,0,0,0,14.32
4/15/18,61,82,3.31,0,0,12.53
4/21/18,37,68,0,0,0,4.47
4/26/18,48,75,0.18,0,0,3.36
4/27/18,54,73,0.01,0,0,4.92
5/1/18,45,83,0,0,0,4.47
5/13/18,66,93,0,0,0,6.04
5/14/18,68,93,0,0,0,8.05
5/18/18,71,82,0.23,0,0,8.28
5/25/18,65,86,0,0,0,5.82
5/26/18,68,87,0.33,0,0,8.5
6/7/18,62,85,0,0,0,4.92
6/12/18,63,70,0.01,0,0,6.26
6/16/18,65,90,0,0,0,4.47
6/18/18,74,94,0,0,0,4.92
6/20/18,73,94,0,0,0,4.47
6/24/18,73,96,0.07,0,0,7.61
6/26/18,66,74,0.74,0,0,6.93
7/6/18,71,93,0.34,0,0,3.8
1/4/17,41,64,0,0,0,5.82
7/8/18,62,82,0,0,0,8.05
1/12/17,54,73,0,0,0,12.53
7/10/18,59,91,0,0,0,2.46
1/17/17,47,62,0.04,0,0,8.28
7/16/18,74,95,0,0,0,8.05
1/27/17,30,51,0,0,0,6.49
7/18/18,72,89,0,0,0,6.71
1/29/17,30,54,0.02,0,0,8.05
7/19/18,63,90,0,0,0,7.16
1/31/17,31,68,0,0,0,12.75
7/21/18,69,88,0.01,0,0,6.71
2/1/17,42,70,0,0,0,3.8
7/23/18,70,88,0.02,0,0,6.26
2/13/17,37,64,0,0,0,7.16
